epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1619922292021,2021-05-01T19.24.52.021,0.000,0.094,0.834,-0.558
1619922292102,2021-05-01T19.24.52.102,0.081,0.091,0.844,-0.559
1619922292182,2021-05-01T19.24.52.182,0.161,0.058,0.833,-0.556
1619922292263,2021-05-01T19.24.52.263,0.242,-0.006,0.869,-0.556
1619922292343,2021-05-01T19.24.52.343,0.322,0.015,0.874,-0.545
1619922292424,2021-05-01T19.24.52.424,0.403,0.117,0.866,-0.571
1619922292505,2021-05-01T19.24.52.505,0.484,0.189,0.792,-0.610
1619922292585,2021-05-01T19.24.52.585,0.564,0.181,0.794,-0.609
1619922292664,2021-05-01T19.24.52.664,0.643,0.220,0.813,-0.515
1619922292745,2021-05-01T19.24.52.745,0.724,0.231,0.827,-0.438
1619922292825,2021-05-01T19.24.52.825,0.804,0.146,0.890,-0.460
1619922292906,2021-05-01T19.24.52.906,0.885,0.093,0.899,-0.467
1619922292987,2021-05-01T19.24.52.987,0.966,0.099,0.926,-0.465
1619922293067,2021-05-01T19.24.53.067,1.046,0.121,0.892,-0.421
1619922293148,2021-05-01T19.24.53.148,1.127,0.130,0.884,-0.393
1619922293228,2021-05-01T19.24.53.228,1.207,0.116,0.917,-0.405
1619922293309,2021-05-01T19.24.53.309,1.288,0.118,0.911,-0.417
1619922293389,2021-05-01T19.24.53.389,1.368,0.130,0.911,-0.433
1619922293470,2021-05-01T19.24.53.470,1.449,0.141,0.891,-0.452
1619922293551,2021-05-01T19.24.53.551,1.530,0.129,0.883,-0.455
1619922293631,2021-05-01T19.24.53.631,1.610,0.151,0.895,-0.447
1619922293712,2021-05-01T19.24.53.712,1.691,0.145,0.888,-0.443
1619922293792,2021-05-01T19.24.53.792,1.771,0.094,0.882,-0.445
1619922293873,2021-05-01T19.24.53.873,1.852,0.089,0.905,-0.446
1619922293953,2021-05-01T19.24.53.953,1.932,0.081,0.883,-0.465
1619922294032,2021-05-01T19.24.54.032,2.011,0.131,0.895,-0.474
1619922294113,2021-05-01T19.24.54.113,2.092,0.154,0.871,-0.484
1619922294194,2021-05-01T19.24.54.194,2.173,0.153,0.848,-0.507
1619922294274,2021-05-01T19.24.54.274,2.253,0.283,0.806,-0.508
1619922294355,2021-05-01T19.24.54.355,2.334,0.238,0.789,-0.556
1619922294435,2021-05-01T19.24.54.435,2.414,0.071,0.824,-0.619
1619922294516,2021-05-01T19.24.54.516,2.495,0.012,0.838,-0.614
1619922294596,2021-05-01T19.24.54.596,2.575,0.043,0.849,-0.588
1619922294677,2021-05-01T19.24.54.677,2.656,0.095,0.820,-0.595
1619922294758,2021-05-01T19.24.54.758,2.737,0.127,0.811,-0.593
1619922294838,2021-05-01T19.24.54.838,2.817,0.151,0.780,-0.582
1619922294919,2021-05-01T19.24.54.919,2.898,0.124,0.782,-0.621
1619922294999,2021-05-01T19.24.54.999,2.978,0.123,0.783,-0.648
1619922295080,2021-05-01T19.24.55.080,3.059,0.098,0.776,-0.641
1619922295160,2021-05-01T19.24.55.160,3.139,0.012,0.804,-0.643
1619922295241,2021-05-01T19.24.55.241,3.220,0.093,0.792,-0.624
1619922295322,2021-05-01T19.24.55.322,3.301,0.083,0.798,-0.639
1619922295402,2021-05-01T19.24.55.402,3.381,0.001,0.790,-0.637
1619922295481,2021-05-01T19.24.55.481,3.460,-0.001,0.773,-0.641
1619922295562,2021-05-01T19.24.55.562,3.541,0.032,0.795,-0.645
1619922295642,2021-05-01T19.24.55.642,3.621,0.030,0.813,-0.622
1619922295723,2021-05-01T19.24.55.723,3.702,0.016,0.811,-0.602
1619922295803,2021-05-01T19.24.55.803,3.782,0.011,0.816,-0.596
1619922295884,2021-05-01T19.24.55.884,3.863,0.009,0.820,-0.595
1619922295965,2021-05-01T19.24.55.965,3.944,0.023,0.836,-0.580
1619922296045,2021-05-01T19.24.56.045,4.024,-0.018,0.837,-0.565
1619922296126,2021-05-01T19.24.56.126,4.105,-0.035,0.836,-0.571
1619922296206,2021-05-01T19.24.56.206,4.185,-0.014,0.838,-0.582
1619922296287,2021-05-01T19.24.56.287,4.266,0.005,0.826,-0.583
1619922296367,2021-05-01T19.24.56.367,4.346,-0.022,0.829,-0.591
1619922296448,2021-05-01T19.24.56.448,4.427,-0.032,0.830,-0.582
1619922296529,2021-05-01T19.24.56.529,4.508,-0.030,0.841,-0.577
1619922296609,2021-05-01T19.24.56.609,4.588,-0.036,0.835,-0.571
1619922296690,2021-05-01T19.24.56.690,4.669,-0.031,0.834,-0.577
1619922296770,2021-05-01T19.24.56.770,4.749,-0.050,0.834,-0.575
1619922296851,2021-05-01T19.24.56.851,4.830,-0.061,0.856,-0.569
1619922296930,2021-05-01T19.24.56.930,4.909,-0.025,0.857,-0.553
1619922297010,2021-05-01T19.24.57.010,4.989,-0.022,0.836,-0.555
1619922297091,2021-05-01T19.24.57.091,5.070,0.003,0.823,-0.578
1619922297172,2021-05-01T19.24.57.172,5.151,0.010,0.813,-0.589
1619922297252,2021-05-01T19.24.57.252,5.231,-0.029,0.818,-0.603
1619922297333,2021-05-01T19.24.57.333,5.312,-0.015,0.845,-0.594
1619922297413,2021-05-01T19.24.57.413,5.392,-0.035,0.834,-0.573
1619922297494,2021-05-01T19.24.57.494,5.473,-0.058,0.846,-0.587
1619922297574,2021-05-01T19.24.57.574,5.553,-0.145,0.866,-0.601
1619922297655,2021-05-01T19.24.57.655,5.634,-0.252,0.825,-0.611
1619922297736,2021-05-01T19.24.57.736,5.715,-0.143,0.556,-0.823
1619922297816,2021-05-01T19.24.57.816,5.795,1.262,0.443,-0.610
1619922297897,2021-05-01T19.24.57.897,5.876,-0.042,0.764,-0.736
1619922297977,2021-05-01T19.24.57.977,5.956,-0.060,0.746,-0.715
1619922298058,2021-05-01T19.24.58.058,6.037,0.395,0.656,-0.673
1619922298138,2021-05-01T19.24.58.138,6.117,0.239,0.675,-0.744
1619922298219,2021-05-01T19.24.58.219,6.198,-0.045,0.694,-0.779
1619922298300,2021-05-01T19.24.58.300,6.279,-0.068,0.756,-0.717
1619922298379,2021-05-01T19.24.58.379,6.358,0.065,0.765,-0.676
1619922298459,2021-05-01T19.24.58.459,6.438,0.104,0.747,-0.676
1619922298540,2021-05-01T19.24.58.540,6.519,0.076,0.744,-0.689
1619922298620,2021-05-01T19.24.58.620,6.599,-0.107,0.778,-0.718
1619922298701,2021-05-01T19.24.58.701,6.680,-0.503,0.653,-0.884
1619922298781,2021-05-01T19.24.58.781,6.760,0.613,0.223,-0.936
1619922298862,2021-05-01T19.24.58.862,6.841,0.844,0.577,-0.728
1619922298943,2021-05-01T19.24.58.943,6.922,-0.057,0.708,-0.794
1619922299023,2021-05-01T19.24.59.023,7.002,0.094,0.635,-0.762
1619922299104,2021-05-01T19.24.59.104,7.083,0.147,0.660,-0.769
1619922299184,2021-05-01T19.24.59.184,7.163,0.053,0.660,-0.805
1619922299265,2021-05-01T19.24.59.265,7.244,0.036,0.607,-0.813
1619922299345,2021-05-01T19.24.59.345,7.324,0.129,0.607,-0.806
1619922299426,2021-05-01T19.24.59.426,7.405,0.125,0.641,-0.800
1619922299507,2021-05-01T19.24.59.507,7.486,0.113,0.622,-0.796
1619922299587,2021-05-01T19.24.59.587,7.566,0.113,0.640,-0.802
1619922299668,2021-05-01T19.24.59.668,7.647,0.145,0.611,-0.780
1619922299747,2021-05-01T19.24.59.747,7.726,0.202,0.613,-0.739
1619922299827,2021-05-01T19.24.59.827,7.806,0.239,0.607,-0.768
1619922299908,2021-05-01T19.24.59.908,7.887,0.235,0.578,-0.820
1619922299989,2021-05-01T19.24.59.989,7.968,0.212,0.540,-0.845
1619922300069,2021-05-01T19.25.00.069,8.048,0.224,0.557,-0.844
1619922300150,2021-05-01T19.25.00.150,8.129,0.198,0.615,-0.792
1619922300230,2021-05-01T19.25.00.230,8.209,0.181,0.646,-0.755
1619922300311,2021-05-01T19.25.00.311,8.290,0.204,0.691,-0.712
1619922300391,2021-05-01T19.25.00.391,8.370,0.450,0.546,-0.624
1619922300472,2021-05-01T19.25.00.472,8.451,0.457,0.240,-0.859
1619922300552,2021-05-01T19.25.00.552,8.531,-0.784,0.542,-1.235
1619922300633,2021-05-01T19.25.00.633,8.612,-0.493,0.694,-0.883
1619922300714,2021-05-01T19.25.00.714,8.693,0.110,0.568,-0.759
1619922300794,2021-05-01T19.25.00.794,8.773,0.118,0.644,-0.824
1619922300875,2021-05-01T19.25.00.875,8.854,0.077,0.652,-0.799
1619922300955,2021-05-01T19.25.00.955,8.934,0.116,0.604,-0.734
1619922301036,2021-05-01T19.25.01.036,9.015,0.130,0.653,-0.744
1619922301116,2021-05-01T19.25.01.116,9.095,0.157,0.652,-0.763
1619922301196,2021-05-01T19.25.01.196,9.175,0.179,0.671,-0.763
1619922301276,2021-05-01T19.25.01.276,9.255,0.161,0.701,-0.746
1619922301357,2021-05-01T19.25.01.357,9.336,0.154,0.671,-0.706
1619922301437,2021-05-01T19.25.01.437,9.416,0.156,0.683,-0.707
1619922301518,2021-05-01T19.25.01.518,9.497,0.157,0.716,-0.730
1619922301598,2021-05-01T19.25.01.598,9.577,0.182,0.711,-0.719
1619922301679,2021-05-01T19.25.01.679,9.658,0.207,0.694,-0.695
1619922301759,2021-05-01T19.25.01.759,9.738,0.194,0.691,-0.690
1619922301840,2021-05-01T19.25.01.840,9.819,0.337,0.622,-0.668
1619922301921,2021-05-01T19.25.01.921,9.900,0.684,0.231,-0.759
1619922302001,2021-05-01T19.25.02.001,9.980,-0.506,0.241,-1.299
1619922302082,2021-05-01T19.25.02.082,10.061,-0.727,0.761,-1.033
1619922302162,2021-05-01T19.25.02.162,10.141,0.156,0.523,-0.765
1619922302243,2021-05-01T19.25.02.243,10.222,0.102,0.553,-0.856
1619922302323,2021-05-01T19.25.02.323,10.302,0.033,0.606,-0.893
1619922302404,2021-05-01T19.25.02.404,10.383,0.084,0.572,-0.833
1619922302485,2021-05-01T19.25.02.485,10.464,0.124,0.546,-0.788
1619922302565,2021-05-01T19.25.02.565,10.544,0.151,0.614,-0.811
1619922302644,2021-05-01T19.25.02.644,10.623,0.168,0.618,-0.803
1619922302725,2021-05-01T19.25.02.725,10.704,0.173,0.644,-0.766
1619922302805,2021-05-01T19.25.02.805,10.784,0.161,0.641,-0.750
1619922302886,2021-05-01T19.25.02.886,10.865,0.151,0.667,-0.754
1619922302967,2021-05-01T19.25.02.967,10.946,0.150,0.670,-0.750
1619922303047,2021-05-01T19.25.03.047,11.026,0.166,0.652,-0.738
1619922303128,2021-05-01T19.25.03.128,11.107,0.186,0.663,-0.739
1619922303208,2021-05-01T19.25.03.208,11.187,0.192,0.682,-0.745
1619922303289,2021-05-01T19.25.03.289,11.268,0.217,0.672,-0.735
1619922303369,2021-05-01T19.25.03.369,11.348,0.235,0.667,-0.722
1619922303450,2021-05-01T19.25.03.450,11.429,0.227,0.665,-0.714
1619922303530,2021-05-01T19.25.03.530,11.509,0.188,0.687,-0.730
1619922303611,2021-05-01T19.25.03.611,11.590,0.183,0.690,-0.734
1619922303692,2021-05-01T19.25.03.692,11.671,0.230,0.660,-0.721
1619922303772,2021-05-01T19.25.03.772,11.751,0.574,0.407,-0.649
1619922303853,2021-05-01T19.25.03.853,11.832,0.323,0.051,-0.967
1619922303933,2021-05-01T19.25.03.933,11.912,-0.952,0.634,-1.320
1619922304014,2021-05-01T19.25.04.014,11.993,-0.184,0.564,-0.860
1619922304093,2021-05-01T19.25.04.093,12.072,0.066,0.531,-0.837
1619922304174,2021-05-01T19.25.04.174,12.153,-0.004,0.572,-0.909
1619922304254,2021-05-01T19.25.04.254,12.233,0.081,0.571,-0.852
1619922304335,2021-05-01T19.25.04.335,12.314,0.116,0.552,-0.779
1619922304415,2021-05-01T19.25.04.415,12.394,0.113,0.584,-0.794
1619922304496,2021-05-01T19.25.04.496,12.475,0.094,0.636,-0.842
1619922304576,2021-05-01T19.25.04.576,12.555,0.114,0.661,-0.809
1619922304657,2021-05-01T19.25.04.657,12.636,0.177,0.621,-0.724
1619922304738,2021-05-01T19.25.04.738,12.717,0.161,0.673,-0.725
1619922304818,2021-05-01T19.25.04.818,12.797,0.127,0.690,-0.738
1619922304899,2021-05-01T19.25.04.899,12.878,0.125,0.692,-0.729
1619922304979,2021-05-01T19.25.04.979,12.958,0.120,0.701,-0.725
1619922305060,2021-05-01T19.25.05.060,13.039,0.113,0.705,-0.726
1619922305140,2021-05-01T19.25.05.140,13.119,0.126,0.701,-0.728
1619922305221,2021-05-01T19.25.05.221,13.200,0.141,0.696,-0.723
1619922305301,2021-05-01T19.25.05.301,13.280,0.137,0.699,-0.714
1619922305382,2021-05-01T19.25.05.382,13.361,0.126,0.701,-0.706
1619922305463,2021-05-01T19.25.05.463,13.442,0.096,0.504,-0.650
1619922305542,2021-05-01T19.25.05.542,13.521,0.064,0.480,-0.708
1619922305622,2021-05-01T19.25.05.622,13.601,0.223,0.798,-1.094
1619922305703,2021-05-01T19.25.05.703,13.682,0.225,0.530,-1.054
1619922305783,2021-05-01T19.25.05.783,13.762,0.146,0.361,-0.879
1619922305864,2021-05-01T19.25.05.864,13.843,0.129,0.487,-0.896
1619922305945,2021-05-01T19.25.05.945,13.924,0.144,0.488,-0.897
1619922306025,2021-05-01T19.25.06.025,14.004,0.155,0.488,-0.848
1619922306106,2021-05-01T19.25.06.106,14.085,0.151,0.558,-0.809
1619922306186,2021-05-01T19.25.06.186,14.165,0.142,0.559,-0.790
1619922306267,2021-05-01T19.25.06.267,14.246,0.152,0.630,-0.812
1619922306347,2021-05-01T19.25.06.347,14.326,0.174,0.640,-0.846
1619922306428,2021-05-01T19.25.06.428,14.407,0.172,1.060,-1.018
1619922306509,2021-05-01T19.25.06.509,14.488,0.193,0.373,-0.341
1619922306589,2021-05-01T19.25.06.589,14.568,0.119,0.765,0.156
1619922306670,2021-05-01T19.25.06.670,14.649,0.219,1.088,-0.388
1619922306750,2021-05-01T19.25.06.750,14.729,0.295,0.892,-0.439
1619922306831,2021-05-01T19.25.06.831,14.810,0.277,0.845,-0.375
1619922306910,2021-05-01T19.25.06.910,14.889,0.233,0.863,-0.438
1619922306990,2021-05-01T19.25.06.990,14.969,0.205,0.865,-0.523
1619922307071,2021-05-01T19.25.07.071,15.050,0.164,0.922,-0.490
1619922307152,2021-05-01T19.25.07.152,15.131,0.086,0.883,-0.420
1619922307232,2021-05-01T19.25.07.232,15.211,0.091,0.870,-0.446
1619922307313,2021-05-01T19.25.07.313,15.292,0.117,0.885,-0.473
1619922307393,2021-05-01T19.25.07.393,15.372,0.125,0.886,-0.496
1619922307474,2021-05-01T19.25.07.474,15.453,0.125,0.869,-0.521
1619922307554,2021-05-01T19.25.07.554,15.533,0.129,0.832,-0.529
1619922307635,2021-05-01T19.25.07.635,15.614,0.108,0.829,-0.557
1619922307716,2021-05-01T19.25.07.716,15.695,0.202,0.788,-0.567
1619922307796,2021-05-01T19.25.07.796,15.775,0.153,0.838,-0.613
1619922307877,2021-05-01T19.25.07.877,15.856,0.118,0.800,-0.594
1619922307957,2021-05-01T19.25.07.957,15.936,0.122,0.801,-0.585
1619922308038,2021-05-01T19.25.08.038,16.017,0.114,0.793,-0.614
1619922308118,2021-05-01T19.25.08.118,16.097,0.119,0.781,-0.627
1619922308197,2021-05-01T19.25.08.197,16.176,0.119,0.765,-0.646
1619922308278,2021-05-01T19.25.08.278,16.257,0.107,0.822,-0.688
1619922308359,2021-05-01T19.25.08.359,16.338,0.073,0.763,-0.639
1619922308439,2021-05-01T19.25.08.439,16.418,0.180,0.738,-0.612
1619922308520,2021-05-01T19.25.08.520,16.499,0.307,0.671,-0.606
1619922308600,2021-05-01T19.25.08.600,16.579,0.312,0.597,-0.632
1619922308681,2021-05-01T19.25.08.681,16.660,0.156,0.708,-0.756
1619922308761,2021-05-01T19.25.08.761,16.740,0.236,0.699,-0.809
1619922308842,2021-05-01T19.25.08.842,16.821,0.238,0.710,-0.819
1619922308923,2021-05-01T19.25.08.923,16.902,0.178,0.636,-0.750
1619922309003,2021-05-01T19.25.09.003,16.982,0.161,0.601,-0.740
1619922309084,2021-05-01T19.25.09.084,17.063,0.165,0.665,-0.780
1619922309164,2021-05-01T19.25.09.164,17.143,0.096,0.665,-0.796
1619922309245,2021-05-01T19.25.09.245,17.224,-0.325,0.540,-0.814
1619922309325,2021-05-01T19.25.09.325,17.304,0.166,0.318,-1.011
1619922309406,2021-05-01T19.25.09.406,17.385,0.968,0.330,-0.876
1619922309487,2021-05-01T19.25.09.487,17.466,0.457,0.429,-0.764
1619922309566,2021-05-01T19.25.09.566,17.545,0.254,0.495,-0.821
1619922309646,2021-05-01T19.25.09.646,17.625,0.398,0.490,-0.825
1619922309727,2021-05-01T19.25.09.727,17.706,0.396,0.511,-0.829
1619922309807,2021-05-01T19.25.09.807,17.786,0.277,0.516,-0.813
1619922309888,2021-05-01T19.25.09.888,17.867,0.190,0.544,-0.798
1619922309968,2021-05-01T19.25.09.968,17.947,0.108,0.586,-0.800
1619922310049,2021-05-01T19.25.10.049,18.028,0.007,0.635,-0.807
1619922310130,2021-05-01T19.25.10.130,18.109,-0.446,0.620,-0.873
1619922310210,2021-05-01T19.25.10.210,18.189,0.190,0.254,-1.014
1619922310291,2021-05-01T19.25.10.291,18.270,0.882,0.394,-0.831
1619922310371,2021-05-01T19.25.10.371,18.350,0.392,0.513,-0.807
1619922310452,2021-05-01T19.25.10.452,18.431,0.146,0.544,-0.902
1619922310532,2021-05-01T19.25.10.532,18.511,0.169,0.529,-0.861
1619922310613,2021-05-01T19.25.10.613,18.592,0.207,0.528,-0.827
1619922310694,2021-05-01T19.25.10.694,18.673,0.236,0.553,-0.828
1619922310774,2021-05-01T19.25.10.774,18.753,0.162,0.553,-0.809
1619922310855,2021-05-01T19.25.10.855,18.834,0.125,0.600,-0.806
1619922310934,2021-05-01T19.25.10.934,18.913,0.124,0.621,-0.800
1619922311014,2021-05-01T19.25.11.014,18.993,0.146,0.616,-0.791
1619922311095,2021-05-01T19.25.11.095,19.074,0.165,0.631,-0.785
1619922311176,2021-05-01T19.25.11.176,19.155,0.155,0.631,-0.776
1619922311256,2021-05-01T19.25.11.256,19.235,0.148,0.622,-0.781
1619922311337,2021-05-01T19.25.11.337,19.316,0.164,0.628,-0.782
1619922311417,2021-05-01T19.25.11.417,19.396,0.154,0.646,-0.780
1619922311498,2021-05-01T19.25.11.498,19.477,0.119,0.656,-0.782
1619922311578,2021-05-01T19.25.11.578,19.557,0.138,0.636,-0.770
1619922311659,2021-05-01T19.25.11.659,19.638,0.164,0.647,-0.761
1619922311739,2021-05-01T19.25.11.739,19.718,0.145,0.648,-0.768
1619922311820,2021-05-01T19.25.11.820,19.799,0.150,0.648,-0.775
1619922311901,2021-05-01T19.25.11.901,19.880,0.147,0.649,-0.771
1619922311981,2021-05-01T19.25.11.981,19.960,0.137,0.639,-0.769
1619922312062,2021-05-01T19.25.12.062,20.041,0.143,0.649,-0.780
1619922312142,2021-05-01T19.25.12.142,20.121,0.146,0.649,-0.773
1619922312223,2021-05-01T19.25.12.223,20.202,0.139,0.648,-0.768
1619922312302,2021-05-01T19.25.12.302,20.281,0.139,0.642,-0.771
1619922312383,2021-05-01T19.25.12.383,20.362,-0.244,0.627,-0.795
1619922312463,2021-05-01T19.25.12.463,20.442,-0.439,0.268,-1.090
1619922312544,2021-05-01T19.25.12.544,20.523,1.144,-0.023,-1.047
1619922312624,2021-05-01T19.25.12.624,20.603,0.939,0.360,-0.763
1619922312705,2021-05-01T19.25.12.705,20.684,0.067,0.466,-0.929
1619922312785,2021-05-01T19.25.12.785,20.764,0.069,0.523,-0.888
1619922312866,2021-05-01T19.25.12.866,20.845,0.165,0.543,-0.796
1619922312947,2021-05-01T19.25.12.947,20.926,0.165,0.594,-0.797
1619922313027,2021-05-01T19.25.13.027,21.006,0.152,0.611,-0.796
1619922313108,2021-05-01T19.25.13.108,21.087,0.145,0.620,-0.790
1619922313188,2021-05-01T19.25.13.188,21.167,0.143,0.639,-0.782
1619922313269,2021-05-01T19.25.13.269,21.248,0.131,0.656,-0.772
1619922313349,2021-05-01T19.25.13.349,21.328,0.126,0.672,-0.756
1619922313430,2021-05-01T19.25.13.430,21.409,0.119,0.682,-0.735
1619922313510,2021-05-01T19.25.13.510,21.489,0.102,0.688,-0.733
1619922313591,2021-05-01T19.25.13.591,21.570,0.101,0.703,-0.742
1619922313670,2021-05-01T19.25.13.670,21.649,0.101,0.709,-0.733
1619922313751,2021-05-01T19.25.13.751,21.730,0.103,0.703,-0.722
1619922313831,2021-05-01T19.25.13.831,21.810,0.117,0.701,-0.724
1619922313912,2021-05-01T19.25.13.912,21.891,0.120,0.709,-0.724
1619922313992,2021-05-01T19.25.13.992,21.971,0.111,0.707,-0.717
1619922314073,2021-05-01T19.25.14.073,22.052,0.117,0.702,-0.720
1619922314154,2021-05-01T19.25.14.154,22.133,0.117,0.703,-0.723
1619922314234,2021-05-01T19.25.14.234,22.213,0.117,0.699,-0.730
1619922314315,2021-05-01T19.25.14.315,22.294,0.114,0.699,-0.735
1619922314395,2021-05-01T19.25.14.395,22.374,0.115,0.694,-0.731
1619922314476,2021-05-01T19.25.14.476,22.455,0.165,0.665,-0.726
1619922314556,2021-05-01T19.25.14.556,22.535,0.532,0.501,-0.738
1619922314637,2021-05-01T19.25.14.637,22.616,0.211,0.314,-1.055
1619922314718,2021-05-01T19.25.14.718,22.697,-0.898,0.708,-1.005
1619922314798,2021-05-01T19.25.14.798,22.777,-0.145,0.683,-0.700
1619922314879,2021-05-01T19.25.14.879,22.858,0.200,0.611,-0.776
1619922314959,2021-05-01T19.25.14.959,22.938,0.164,0.657,-0.807
1619922315038,2021-05-01T19.25.15.038,23.017,0.125,0.660,-0.771
1619922315119,2021-05-01T19.25.15.119,23.098,0.126,0.642,-0.742
1619922315199,2021-05-01T19.25.15.199,23.178,0.107,0.668,-0.762
1619922315280,2021-05-01T19.25.15.280,23.259,0.095,0.716,-0.771
1619922315361,2021-05-01T19.25.15.361,23.340,0.129,0.699,-0.703
1619922315441,2021-05-01T19.25.15.441,23.420,0.144,0.720,-0.657
1619922315522,2021-05-01T19.25.15.522,23.501,0.118,0.763,-0.658
1619922315602,2021-05-01T19.25.15.602,23.581,0.113,0.774,-0.647
1619922315683,2021-05-01T19.25.15.683,23.662,0.117,0.770,-0.634
1619922315763,2021-05-01T19.25.15.763,23.742,0.112,0.774,-0.634
1619922315844,2021-05-01T19.25.15.844,23.823,0.112,0.780,-0.635
1619922315925,2021-05-01T19.25.15.925,23.904,0.114,0.785,-0.632
1619922316005,2021-05-01T19.25.16.005,23.984,0.118,0.782,-0.629
1619922316086,2021-05-01T19.25.16.086,24.065,0.124,0.782,-0.630
1619922316166,2021-05-01T19.25.16.166,24.145,0.122,0.781,-0.625
1619922316247,2021-05-01T19.25.16.247,24.226,0.126,0.782,-0.624
1619922316327,2021-05-01T19.25.16.327,24.306,0.136,0.788,-0.627
1619922316406,2021-05-01T19.25.16.406,24.385,0.131,0.797,-0.626
1619922316487,2021-05-01T19.25.16.487,24.466,0.153,0.947,-0.661
1619922316568,2021-05-01T19.25.16.568,24.547,0.121,0.699,-0.497
1619922316648,2021-05-01T19.25.16.648,24.627,0.144,0.747,-0.455
1619922316729,2021-05-01T19.25.16.729,24.708,0.200,0.820,-0.603
1619922316809,2021-05-01T19.25.16.809,24.788,0.174,0.775,-0.646
1619922316890,2021-05-01T19.25.16.890,24.869,0.163,0.787,-0.664
1619922316970,2021-05-01T19.25.16.970,24.949,0.248,0.947,-0.827
1619922317051,2021-05-01T19.25.17.051,25.030,0.126,0.664,-0.551
1619922317132,2021-05-01T19.25.17.132,25.111,0.056,0.763,-0.225
1619922317212,2021-05-01T19.25.17.212,25.191,0.182,0.961,-0.494
1619922317293,2021-05-01T19.25.17.293,25.272,0.179,0.861,-0.523
1619922317373,2021-05-01T19.25.17.373,25.352,0.178,0.857,-0.492
1619922317454,2021-05-01T19.25.17.454,25.433,0.167,0.824,-0.521
1619922317534,2021-05-01T19.25.17.534,25.513,0.173,0.836,-0.550
1619922317615,2021-05-01T19.25.17.615,25.594,0.181,0.853,-0.532
1619922317696,2021-05-01T19.25.17.696,25.675,0.176,0.842,-0.514
1619922317775,2021-05-01T19.25.17.775,25.754,0.175,0.841,-0.521
1619922317855,2021-05-01T19.25.17.855,25.834,0.174,0.839,-0.522
1619922317936,2021-05-01T19.25.17.936,25.915,0.170,0.848,-0.507
1619922318016,2021-05-01T19.25.18.016,25.995,0.170,0.860,-0.506
1619922318097,2021-05-01T19.25.18.097,26.076,0.161,0.863,-0.505
1619922318177,2021-05-01T19.25.18.177,26.156,0.158,0.854,-0.495
1619922318258,2021-05-01T19.25.18.258,26.237,0.164,0.859,-0.505
1619922318339,2021-05-01T19.25.18.339,26.318,0.173,0.861,-0.527
1619922318419,2021-05-01T19.25.18.419,26.398,0.171,0.825,-0.533
1619922318500,2021-05-01T19.25.18.500,26.479,0.160,0.811,-0.550
1619922318580,2021-05-01T19.25.18.580,26.559,0.147,0.824,-0.566
1619922318661,2021-05-01T19.25.18.661,26.640,0.179,0.777,-0.578
1619922318741,2021-05-01T19.25.18.741,26.720,0.177,0.619,-0.584
1619922318822,2021-05-01T19.25.18.822,26.801,0.265,0.916,-0.775
1619922318903,2021-05-01T19.25.18.903,26.882,0.245,0.768,-0.751
1619922318983,2021-05-01T19.25.18.983,26.962,0.202,0.572,-0.621
1619922319064,2021-05-01T19.25.19.064,27.043,0.177,0.592,-0.636
1619922319144,2021-05-01T19.25.19.144,27.123,0.149,0.645,-0.737
1619922319223,2021-05-01T19.25.19.223,27.202,0.204,0.831,-0.910
1619922319304,2021-05-01T19.25.19.304,27.283,0.179,0.621,-0.816
1619922319384,2021-05-01T19.25.19.384,27.363,0.117,0.578,-0.759
1619922319465,2021-05-01T19.25.19.465,27.444,0.115,0.610,-0.775
1619922319546,2021-05-01T19.25.19.546,27.525,0.129,0.644,-0.792
1619922319626,2021-05-01T19.25.19.626,27.605,0.139,0.647,-0.777
1619922319707,2021-05-01T19.25.19.707,27.686,0.153,0.640,-0.760
1619922319787,2021-05-01T19.25.19.787,27.766,0.160,0.647,-0.754
1619922319868,2021-05-01T19.25.19.868,27.847,0.160,0.667,-0.750
1619922319948,2021-05-01T19.25.19.948,27.927,0.165,0.677,-0.741
1619922320029,2021-05-01T19.25.20.029,28.008,0.167,0.694,-0.728
1619922320110,2021-05-01T19.25.20.110,28.089,0.166,0.708,-0.711
1619922320190,2021-05-01T19.25.20.190,28.169,0.169,0.710,-0.690
1619922320271,2021-05-01T19.25.20.271,28.250,0.185,0.716,-0.684
1619922320351,2021-05-01T19.25.20.351,28.330,0.192,0.719,-0.679
1619922320432,2021-05-01T19.25.20.432,28.411,0.246,0.691,-0.676
1619922320511,2021-05-01T19.25.20.511,28.490,0.679,0.398,-0.639
1619922320592,2021-05-01T19.25.20.592,28.571,0.117,0.170,-1.074
1619922320672,2021-05-01T19.25.20.672,28.651,-0.836,0.721,-1.127
1619922320753,2021-05-01T19.25.20.753,28.732,-0.043,0.644,-0.806
1619922320833,2021-05-01T19.25.20.833,28.812,0.110,0.543,-0.814
1619922320914,2021-05-01T19.25.20.914,28.893,-0.052,0.628,-0.884
1619922320994,2021-05-01T19.25.20.994,28.973,-0.007,0.620,-0.862
1619922321075,2021-05-01T19.25.21.075,29.054,0.103,0.575,-0.804
1619922321155,2021-05-01T19.25.21.155,29.134,0.179,0.611,-0.763
1619922321236,2021-05-01T19.25.21.236,29.215,0.179,0.661,-0.738
1619922321317,2021-05-01T19.25.21.317,29.296,0.191,0.687,-0.710
1619922321397,2021-05-01T19.25.21.397,29.376,0.188,0.700,-0.696
